"","longitude","latitude","housing_median_age","population","households","median_income","median_house_value","mean_bedrooms","mean_rooms","location"
"1",-122.23,37.88,41,322,126,8.3252,452600,1.02380952380952,6.98412698412698,"NEAR BAY"
"2",-122.22,37.86,21,2401,1138,8.3014,358500,0.971880492091388,6.23813708260105,"NEAR BAY"
"3",-122.24,37.85,52,496,177,7.2574,352100,1.07344632768362,8.28813559322034,"NEAR BAY"
"4",-122.25,37.85,52,558,219,5.6431,341300,1.07305936073059,5.81735159817352,"NEAR BAY"
"5",-122.25,37.85,52,565,259,3.8462,342200,1.08108108108108,6.28185328185328,"NEAR BAY"
"6",-122.25,37.85,52,413,193,4.0368,269700,1.10362694300518,4.76165803108808,"NEAR BAY"
"7",-122.25,37.84,52,1094,514,3.6591,299200,0.95136186770428,4.93190661478599,"NEAR BAY"
"8",-122.25,37.84,52,1157,647,3.12,241400,1.06182380216383,4.79752704791345,"NEAR BAY"
"9",-122.26,37.84,42,1206,595,2.0804,226700,1.11764705882353,4.29411764705882,"NEAR BAY"
"10",-122.25,37.84,52,1551,714,3.6912,261100,0.990196078431373,4.97058823529412,"NEAR BAY"
"11",-122.26,37.85,52,910,402,3.2031,281500,1.07960199004975,5.47761194029851,"NEAR BAY"
"12",-122.26,37.85,52,1504,734,3.2705,241800,1.02452316076294,4.7724795640327,"NEAR BAY"
"13",-122.26,37.85,52,1098,468,3.075,213500,1.01282051282051,5.32264957264957,"NEAR BAY"
"14",-122.26,37.84,52,345,174,2.6736,191300,1.09770114942529,4,"NEAR BAY"
"15",-122.26,37.85,52,1212,620,1.9167,159200,1.00967741935484,4.26290322580645,"NEAR BAY"
"16",-122.26,37.85,50,697,264,2.125,140000,1.0719696969697,4.24242424242424,"NEAR BAY"
"17",-122.27,37.85,52,793,331,2.775,152500,1.04833836858006,5.93957703927492,"NEAR BAY"
"18",-122.27,37.85,52,648,303,2.1202,155500,0.966996699669967,4.05280528052805,"NEAR BAY"
"19",-122.26,37.84,50,990,419,1.9911,158700,1.08591885441527,5.3436754176611,"NEAR BAY"
"20",-122.27,37.84,52,690,275,2.6033,162900,1.08363636363636,5.46545454545455,"NEAR BAY"
"21",-122.27,37.85,40,409,166,1.3578,147500,1.10843373493976,4.52409638554217,"NEAR BAY"
"22",-122.27,37.85,42,929,366,1.7135,159800,1.00273224043716,4.47814207650273,"NEAR BAY"
"23",-122.27,37.84,52,1015,478,1.725,113900,1.13179916317992,5.09623430962343,"NEAR BAY"
"24",-122.27,37.84,52,853,325,2.1806,99700,1.03692307692308,5.19384615384615,"NEAR BAY"
"25",-122.27,37.84,52,1006,422,2.6,132600,1.03554502369668,5.27014218009479,"NEAR BAY"
"26",-122.28,37.85,41,317,119,2.4038,107500,1.03361344537815,4.49579831932773,"NEAR BAY"
"27",-122.28,37.85,49,607,239,2.4597,93800,1.02092050209205,4.72803347280335,"NEAR BAY"
"28",-122.28,37.85,52,1102,397,1.808,105500,1.06045340050378,4.7808564231738,"NEAR BAY"
"29",-122.28,37.84,50,1131,473,1.6424,108900,1.04016913319239,4.40169133192389,"NEAR BAY"
"30",-122.28,37.84,52,395,155,1.6875,132000,1.03225806451613,4.70322580645161,"NEAR BAY"
"31",-122.28,37.84,49,863,378,1.9274,122300,1.18253968253968,5.06878306878307,"NEAR BAY"
"32",-122.28,37.84,52,1168,441,1.9615,115200,1.09070294784581,4.88208616780045,"NEAR BAY"
"33",-122.27,37.84,48,1026,335,1.7969,110400,1.22089552238806,5.73731343283582,"NEAR BAY"
"34",-122.27,37.83,49,754,329,1.375,104900,1.11246200607903,5.03039513677812,"NEAR BAY"
"35",-122.27,37.83,51,1258,536,2.7303,109700,1.07089552238806,4.97201492537313,"NEAR BAY"
"36",-122.27,37.83,49,570,264,1.4861,97200,1.06818181818182,4.60227272727273,"NEAR BAY"
"37",-122.27,37.83,48,987,374,1.0972,104500,1.15508021390374,4.80748663101604,"NEAR BAY"
"38",-122.28,37.83,52,901,403,1.4103,103900,0.967741935483871,3.74937965260546,"NEAR BAY"
"39",-122.26,37.83,52,689,309,3.48,191400,1.06796116504854,4.75728155339806,"NEAR BAY"
"40",-122.26,37.83,52,1377,696,2.5898,176000,1.02729885057471,3.49425287356322,"NEAR BAY"
"41",-122.26,37.83,52,946,395,2.0978,155400,1.06075949367089,4.21518987341772,"NEAR BAY"
"42",-122.26,37.83,51,517,249,1.2852,150000,1.24899598393574,3.75903614457831,"NEAR BAY"
"43",-122.26,37.84,49,462,189,1.025,118800,1.06878306878307,3.77248677248677,"NEAR BAY"
"44",-122.26,37.84,52,467,198,3.9643,188800,1.02020202020202,4.7979797979798,"NEAR BAY"
"45",-122.26,37.83,52,660,292,3.0125,184400,1.06506849315068,4.94178082191781,"NEAR BAY"
"46",-122.26,37.83,52,718,382,2.6768,182300,1.09947643979058,4.33507853403141,"NEAR BAY"
"47",-122.26,37.83,50,616,304,2.026,142500,1.05921052631579,3.70065789473684,"NEAR BAY"
"48",-122.27,37.82,43,558,253,1.7348,137500,1.23320158102767,3.9802371541502,"NEAR BAY"
"49",-122.26,37.82,40,423,160,0.9506,187500,1.21875,3.9,"NEAR BAY"
"50",-122.27,37.82,40,700,352,1.775,112500,1.06534090909091,2.6875,"NEAR BAY"
"51",-122.27,37.82,21,735,438,0.9218,171900,1.03424657534247,2.04566210045662,"NEAR BAY"
"52",-122.27,37.82,43,1061,407,1.5045,93800,1.12039312039312,4.58968058968059,"NEAR BAY"
"53",-122.27,37.82,41,1959,720,1.1108,97500,1.18472222222222,4.47361111111111,"NEAR BAY"
"54",-122.27,37.82,52,1162,400,1.2475,104200,1.14,4.075,"NEAR BAY"
"55",-122.28,37.82,52,701,233,1.6098,87500,1.00858369098712,5.02145922746781,"NEAR BAY"
"56",-122.28,37.82,52,576,220,1.4113,83100,1.10454545454545,4.29545454545455,"NEAR BAY"
"57",-122.28,37.82,52,622,259,1.5057,87500,1.11196911196911,4.77992277992278,"NEAR BAY"
"58",-122.28,37.82,52,728,244,0.8172,85300,1.37295081967213,6.10245901639344,"NEAR BAY"
"59",-122.28,37.82,52,1074,304,1.2171,80300,1.12171052631579,4.5625,"NEAR BAY"
"60",-122.29,37.82,2,94,57,2.5625,60000,0.754385964912281,2.7719298245614,"NEAR BAY"
"61",-122.29,37.83,52,554,187,3.3929,75700,1.1283422459893,5.99465240641711,"NEAR BAY"
"62",-122.29,37.82,49,86,23,6.1183,75000,1.26086956521739,5.8695652173913,"NEAR BAY"
"63",-122.29,37.81,50,377,122,0.9011,86100,1.55737704918033,6.22950819672131,"NEAR BAY"
"64",-122.3,37.81,52,521,159,1.191,76100,1.49056603773585,7.69811320754717,"NEAR BAY"
"65",-122.3,37.81,48,392,133,2.5938,73500,1.36842105263158,6.22556390977444,"NEAR BAY"
"66",-122.3,37.81,52,604,187,1.1667,78400,1.11764705882353,5.40106951871658,"NEAR BAY"
"67",-122.3,37.81,48,788,332,0.8056,84400,1.06626506024096,4.38253012048193,"NEAR BAY"
"68",-122.29,37.8,52,492,147,2.6094,81300,1.65986394557823,6.98639455782313,"NEAR BAY"
"69",-122.3,37.81,52,274,82,1.8516,85000,1.32926829268293,6.97560975609756,"NEAR BAY"
"70",-122.29,37.81,46,1823,611,0.9802,129200,1.05400981996727,4.58428805237316,"NEAR BAY"
"71",-122.29,37.81,26,392,127,1.7719,82500,1.19685039370079,6.04724409448819,"NEAR BAY"
"72",-122.29,37.81,46,582,277,0.7286,95200,1.07220216606498,3.37545126353791,"NEAR BAY"
"73",-122.29,37.81,49,560,152,1.75,75000,1.34210526315789,5.55263157894737,"NEAR BAY"
"74",-122.29,37.81,46,18,7,0.4999,67500,0.571428571428571,1.71428571428571,"NEAR BAY"
"75",-122.29,37.81,20,290,133,2.483,137500,1.21052631578947,6.2781954887218,"NEAR BAY"
"76",-122.28,37.81,17,762,439,0.9241,177500,1.05239179954442,2.81776765375854,"NEAR BAY"
"77",-122.28,37.81,36,1236,509,2.4464,102100,1.1041257367387,5.72495088408644,"NEAR BAY"
"78",-122.28,37.81,19,721,207,1.1111,108300,1.17391304347826,5.83091787439614,"NEAR BAY"
"79",-122.29,37.81,23,1054,325,0.8026,112500,1.15076923076923,5.36923076923077,"NEAR BAY"
"80",-122.28,37.8,38,344,155,2.0114,131300,1.13548387096774,4.41290322580645,"NEAR BAY"
"81",-122.28,37.81,17,609,289,1.5,162500,1,3.19723183391003,"NEAR BAY"
"82",-122.27,37.81,52,183,56,1.1667,112500,1,3.75,"NEAR BAY"
"83",-122.28,37.81,52,200,87,1.5208,112500,1.11494252873563,3.90804597701149,"NEAR BAY"
"84",-122.28,37.81,52,346,155,0.8075,137500,1.05806451612903,2.49032258064516,"NEAR BAY"
"85",-122.28,37.81,35,467,169,1.8088,118800,1.0887573964497,5.6094674556213,"NEAR BAY"
"86",-122.28,37.81,52,377,115,2.4083,98200,1.24347826086957,6.72173913043478,"NEAR BAY"
"87",-122.27,37.81,40,582,380,0.977,118800,1.18684210526316,2.31578947368421,"NEAR BAY"
"88",-122.27,37.81,10,546,330,0.76,162500,1.05454545454545,2.65151515151515,"NEAR BAY"
"89",-122.27,37.8,10,125,39,0.9722,137500,1.07692307692308,2.69230769230769,"NEAR BAY"
"91",-122.27,37.8,16,800,362,2.0938,162500,1.0828729281768,2.74585635359116,"NEAR BAY"
"92",-122.28,37.8,52,904,88,0.8668,137500,0.988636363636364,2.44318181818182,"NEAR BAY"
"93",-122.28,37.8,52,191,34,0.75,162500,0.911764705882353,2.82352941176471,"NEAR BAY"
"94",-122.27,37.79,27,718,302,2.6354,187500,1.14900662251656,3.49337748344371,"NEAR BAY"
"95",-122.27,37.8,39,1327,467,1.8477,179200,1.33404710920771,3.67237687366167,"NEAR BAY"
"97",-122.26,37.82,31,2048,1180,2.8345,183800,1.12796610169492,3.89491525423729,"NEAR BAY"
"98",-122.26,37.81,29,202,91,2.0062,125000,1.17582417582418,3.68131868131868,"NEAR BAY"
"99",-122.26,37.82,22,2024,1250,1.2185,170000,1.016,2.9456,"NEAR BAY"
"100",-122.26,37.82,37,1838,980,2.6104,193100,1.10714285714286,3.70714285714286,"NEAR BAY"
"101",-122.25,37.81,29,2304,1250,2.4912,257800,1.1312,3.7248,"NEAR BAY"
"102",-122.25,37.81,28,2563,1497,3.2177,273400,1.07080828323313,3.87842351369405,"NEAR BAY"
"103",-122.25,37.81,39,389,228,3.125,237500,1.06140350877193,3.74561403508772,"NEAR BAY"
"104",-122.25,37.81,52,895,613,2.5795,350000,1.14355628058728,3.51549755301794,"NEAR BAY"
"105",-122.26,37.81,34,2689,1789,2.8406,335700,1.06987143655674,3.28172163219676,"NEAR BAY"
"106",-122.24,37.82,52,674,244,4.9306,313400,0.922131147540984,6.1844262295082,"NEAR BAY"
"107",-122.24,37.81,52,709,456,3.2727,268500,1.05701754385965,4.44298245614035,"NEAR BAY"
"108",-122.25,37.81,52,686,422,3.1691,259400,1.09004739336493,4.16587677725119,"NEAR BAY"
"109",-122.24,37.82,52,1444,718,3.9,275700,1.04596100278552,4.84818941504178,"NEAR BAY"
"110",-122.25,37.82,28,1520,802,3.9063,225000,1.06608478802993,4.16084788029925,"NEAR BAY"
"111",-122.25,37.82,52,550,253,5.0917,262500,1.14229249011858,5.62845849802372,"NEAR BAY"
"112",-122.25,37.82,32,1806,1022,2.6429,218500,1.07436399217221,3.72700587084149,"NEAR BAY"
"113",-122.25,37.82,26,1749,1217,3.0233,255000,0.982744453574363,3.25308134757601,"NEAR BAY"
"114",-122.25,37.83,52,939,519,3.1484,224100,1.07707129094412,4.57803468208092,"NEAR BAY"
"115",-122.25,37.83,35,675,422,3.4722,243100,1.01421800947867,3.82227488151659,"NEAR BAY"
"116",-122.25,37.83,52,534,291,3.1429,231600,0.986254295532646,4.39518900343643,"NEAR BAY"
"117",-122.25,37.83,28,2558,1661,2.4234,218500,1.05358217940999,3.02347983142685,"NEAR BAY"
"118",-122.25,37.83,52,1786,1037,3.0897,234100,1.0655737704918,4.04050144648023,"NEAR BAY"
"119",-122.23,37.84,50,970,373,5.8596,327600,1.06970509383378,6.7426273458445,"NEAR BAY"
"120",-122.23,37.84,47,1098,485,5.2868,347600,0.936082474226804,6.54639175257732,"NEAR BAY"
"121",-122.24,37.83,41,794,376,5.956,366100,1.07978723404255,6.85106382978723,"NEAR BAY"
"122",-122.24,37.85,37,98,47,4.9643,335000,1.14893617021277,7.1063829787234,"NEAR BAY"
"123",-122.23,37.85,52,1061,403,6.3434,373600,1.01985111662531,6.94789081885856,"NEAR BAY"
"124",-122.24,37.84,52,1177,555,5.1773,389500,1.03423423423423,6.35855855855856,"NEAR BAY"
"125",-122.24,37.85,52,901,367,7.2354,391100,0.994550408719346,7.11716621253406,"NEAR BAY"
"126",-122.22,37.85,28,2031,956,5.457,337300,1.09623430962343,5.53033472803347,"NEAR BAY"
"127",-122.22,37.84,50,1031,479,7.5,295200,0.987473903966597,6.12734864300626,"NEAR BAY"
"128",-122.21,37.84,44,1358,597,6.0194,292300,1,5.73534338358459,"NEAR BAY"
"129",-122.21,37.83,40,1616,654,7.5544,411500,1.03058103975535,7.63149847094801,"NEAR BAY"
